source_id,n_spectra,page,n_failed
AURORA_1914_927605,3,0145_AURORA_1914_927605.html,0
RUBIES_4233_119559,2,0146_RUBIES_4233_119559.html,0
EXCELS_3543_42268,1,0147_EXCELS_3543_42268.html,0
RUBIES_4233_31747,2,0148_RUBIES_4233_31747.html,0
JADES_1181_73488,5,0149_JADES_1181_73488.html,0
GDN_2674_3761,1,0150_GDN_2674_3761.html,0
EXCELS_3543_89922,1,0151_EXCELS_3543_89922.html,0
JADES_1181_72127,5,0152_JADES_1181_72127.html,0
RUBIES_4233_119957,2,0153_RUBIES_4233_119957.html,0
RUBIES_4233_28812,4,0154_RUBIES_4233_28812.html,0
RUBIES_4233_41683,1,0155_RUBIES_4233_41683.html,0
GDN_4762_37583,2,0156_GDN_4762_37583.html,0
RUBIES_4233_54059,2,0157_RUBIES_4233_54059.html,0
AURORA_1914_928583,3,0158_AURORA_1914_928583.html,0
JADES_1181_11836,5,0159_JADES_1181_11836.html,0
JADES_1181_28746,5,0160_JADES_1181_28746.html,0
JADES_1180_16375,4,0161_JADES_1180_16375.html,0
JADES_1181_53757,7,0162_JADES_1181_53757.html,0
CEERS_1345_1244,4,0163_CEERS_1345_1244.html,0
MACS1149_1199_80002,1,0164_MACS1149_1199_80002.html,0
AURORA_1914_8769,3,0165_AURORA_1914_8769.html,0
RUBIES_4233_29489,3,0166_RUBIES_4233_29489.html,0
GTO_1215_1472,3,0167_GTO_1215_1472.html,0
GTO_1215_6001,3,0168_GTO_1215_6001.html,0
VALENTINO_3567_51909,1,0169_VALENTINO_3567_51909.html,0
GTO_1213_3848,3,0170_GTO_1213_3848.html,0
GDS_1210_9515,5,0171_GDS_1210_9515.html,0
JADES_1181_20621,5,0172_JADES_1181_20621.html,0
GTO_1215_4446,3,0173_GTO_1215_4446.html,0
MACS1149_2758_60001,2,0174_MACS1149_2758_60001.html,0
GOODSN_1211_2066,3,0175_GOODSN_1211_2066.html,0
MACS0416_4750_50001,2,0176_MACS0416_4750_50001.html,0
RUBIES_4233_42658,1,0177_RUBIES_4233_42658.html,0
RUBIES_4233_182791,2,0178_RUBIES_4233_182791.html,0
JADES_1286_172975,5,0179_JADES_1286_172975.html,0
EGS_4106_71365,2,0180_EGS_4106_71365.html,0
RUBIES_4233_48449,2,0181_RUBIES_4233_48449.html,0
JADES_1286_38562,5,0182_JADES_1286_38562.html,0
VALENTINO_3567_1552,1,0183_VALENTINO_3567_1552.html,0
JADES_1181_39353,6,0184_JADES_1181_39353.html,0
RUBIES_4233_6411,2,0185_RUBIES_4233_6411.html,0
J0910_2028_14324,2,0186_J0910_2028_14324.html,0
JADES_1180_13520,4,0187_JADES_1180_13520.html,0
EGS_4106_51623,2,0188_EGS_4106_51623.html,0
RUBIES_4233_42232,5,0189_RUBIES_4233_42232.html,0
MACS0416_4750_60009,3,0190_MACS0416_4750_60009.html,0
JADES_1181_68797,10,0191_JADES_1181_68797.html,0
RUBIES_4233_166271,2,0192_RUBIES_4233_166271.html,0
JADES_1286_159717,5,0193_JADES_1286_159717.html,0
RUBIES_4233_61496,2,0194_RUBIES_4233_61496.html,0
VALENTINO_3567_44330,1,0195_VALENTINO_3567_44330.html,0
GDN_2674_14,1,0196_GDN_2674_14.html,0
JADES_1181_78773,5,0197_JADES_1181_78773.html,0
GDN_2674_32,1,0198_GDN_2674_32.html,0
RUBIES_4233_148866,2,0199_RUBIES_4233_148866.html,0
JADES_1181_77652,5,0200_JADES_1181_77652.html,0
CEERS_1345_2782,4,0201_CEERS_1345_2782.html,0
RUBIES_4233_50052,3,0202_RUBIES_4233_50052.html,0
RUBIES_4233_13872,2,0203_RUBIES_4233_13872.html,0
RUBIES_4233_42046,2,0204_RUBIES_4233_42046.html,0
RUBIES_4233_970351,2,0205_RUBIES_4233_970351.html,0
RUBIES_4233_926125,2,0206_RUBIES_4233_926125.html,0
RUBIES_4233_60935,2,0207_RUBIES_4233_60935.html,0
MACS0416_4750_60003,3,0208_MACS0416_4750_60003.html,0
MACS1149_2758_40149,2,0209_MACS1149_2758_40149.html,0
RUBIES_4233_29813,2,0210_RUBIES_4233_29813.html,0
JADES_1286_204851,5,0211_JADES_1286_204851.html,0
RUBIES_4233_17604,1,0212_RUBIES_4233_17604.html,0
GDN_2674_934,1,0213_GDN_2674_934.html,0
RUBIES_4233_172350,2,0214_RUBIES_4233_172350.html,0
JADES_1181_1093,5,0215_JADES_1181_1093.html,0
CEERS_1345_746,4,0216_CEERS_1345_746.html,0
RUBIES_4233_19521,4,0217_RUBIES_4233_19521.html,0
RUBIES_4233_47509,2,0218_RUBIES_4233_47509.html,0
RUBIES_4233_37124,2,0219_RUBIES_4233_37124.html,0
RUBIES_4233_139709,2,0220_RUBIES_4233_139709.html,0
J0226_3325_3190,1,0221_J0226_3325_3190.html,0
JADES_1181_38147,6,0222_JADES_1181_38147.html,0
JADES_1181_61888,5,0223_JADES_1181_61888.html,0
GDS_1210_13704,5,0224_GDS_1210_13704.html,0
JADES_1286_30148179,9,0225_JADES_1286_30148179.html,0
MACS0416_4750_22011,2,0226_MACS0416_4750_22011.html,0
GLIMPSE_9223_11026,1,0227_GLIMPSE_9223_11026.html,0
RUBIES_4233_174752,2,0228_RUBIES_4233_174752.html,0
GLIMPSE_9223_26653,1,0229_GLIMPSE_9223_26653.html,0
RUBIES_4233_50716,2,0230_RUBIES_4233_50716.html,0
MACS1149_2758_30028,2,0231_MACS1149_2758_30028.html,0
GLIMPSE_9223_5536,1,0232_GLIMPSE_9223_5536.html,0
RUBIES_4233_24210,2,0233_RUBIES_4233_24210.html,0
J0226_3325_10867,1,0234_J0226_3325_10867.html,0
J0226_3325_9556,1,0235_J0226_3325_9556.html,0
J0226_3325_6699,1,0236_J0226_3325_6699.html,0
J0910_2028_12910,2,0237_J0910_2028_12910.html,0
J0910_2028_14306,2,0238_J0910_2028_14306.html,0
GLIMPSE_9223_329380,1,0239_GLIMPSE_9223_329380.html,0
RUBIES_4233_49140,5,0240_RUBIES_4233_49140.html,0
EGS_4106_57146,2,0241_EGS_4106_57146.html,0
EGS_4106_47962,5,0242_EGS_4106_47962.html,0
AURORA_1914_100182,3,0243_AURORA_1914_100182.html,0
JADES_1181_954,4,0244_JADES_1181_954.html,0
RUBIES_4233_807469,2,0245_RUBIES_4233_807469.html,0
GLIMPSE_9223_46938,1,0246_GLIMPSE_9223_46938.html,0
RUBIES_4233_925921,2,0247_RUBIES_4233_925921.html,0
EGS_4287_127193,2,0248_EGS_4287_127193.html,0
RUBIES_4233_55604,2,0249_RUBIES_4233_55604.html,0
BLUEJAY_1810_19945,3,0250_BLUEJAY_1810_19945.html,0
RUBIES_4233_42803,3,0251_RUBIES_4233_42803.html,0
GDN_4762_33609,2,0252_GDN_4762_33609.html,0
UDS-40579,4,0253_UDS-40579.html,0
UDS-143741,2,0254_UDS-143741.html,0
UDS-144195,2,0255_UDS-144195.html,0
UDS-44043,1,0256_UDS-44043.html,0
UDS-143498,1,0257_UDS-143498.html,0
UDS-154183,2,0258_UDS-154183.html,0
UDS-5496,2,0259_UDS-5496.html,0
UDS-23438,2,0260_UDS-23438.html,0
UDS-42289,2,0261_UDS-42289.html,0
UDS-19785,1,0262_UDS-19785.html,0
EGS-34978,1,0263_EGS-34978.html,0
UDS-53452,2,0264_UDS-53452.html,0
UDS-167741,2,0265_UDS-167741.html,0
UDS-143683,2,0266_UDS-143683.html,0
UDS-171824,2,0267_UDS-171824.html,0
EGS-952625,2,0268_EGS-952625.html,0
UDS-830237,4,0269_UDS-830237.html,0
UDS-149298,3,0270_UDS-149298.html,0
EGS-17301,3,0271_EGS-17301.html,0
UDS-24447,2,0272_UDS-24447.html,0
EGS-70473,1,0273_EGS-70473.html,0
UDS-53692,2,0274_UDS-53692.html,0
UDS-41571,2,0275_UDS-41571.html,0
UDS-840721,2,0276_UDS-840721.html,0
EGS-931291,3,0277_EGS-931291.html,0
UDS-34411,2,0278_UDS-34411.html,0
UDS-14947,2,0279_UDS-14947.html,0
UDS-916674,2,0280_UDS-916674.html,0
UDS-966096,2,0281_UDS-966096.html,0
UDS-961025,2,0282_UDS-961025.html,0
UDS-57040,0,0283_UDS-57040.html,0
UDS-36171,2,0284_UDS-36171.html,0
UDS-967770,2,0285_UDS-967770.html,0
EGS-53254,3,0286_EGS-53254.html,0
UDS-33938,4,0287_UDS-33938.html,0
EGS-927271,2,0288_EGS-927271.html,0
UDS-60452,1,0289_UDS-60452.html,0
EGS-46724,4,0290_EGS-46724.html,0
UDS-919440,3,0291_UDS-919440.html,0
EGS-959367,4,0292_EGS-959367.html,0
UDS-19112,2,0293_UDS-19112.html,0
UDS-920396,3,0294_UDS-920396.html,0
UDS-848745,2,0295_UDS-848745.html,0
UDS-981721,5,0296_UDS-981721.html,0
EGS-966323,7,0297_EGS-966323.html,0
GS-210600,0,0298_GS-210600.html,0
GS-159438,5,0299_GS-159438.html,0
GN-62309,5,0300_GN-62309.html,0
GN-38509,4,0301_GN-38509.html,0
GN-29648,5,0302_GN-29648.html,0
GS-9598,4,0303_GS-9598.html,0
GS-200679,3,0304_GS-200679.html,0
GS-20057765,5,0305_GS-20057765.html,0
GS-20030333,5,0306_GS-20030333.html,0
GS-164055,5,0307_GS-164055.html,0
GN-4685,5,0308_GN-4685.html,0
RUBIES-EGS-50812,2,0309_RUBIES-EGS-50812.html,0
RUBIES-UDS-21944,2,0310_RUBIES-UDS-21944.html,0
RUBIES-UDS-46566,2,0311_RUBIES-UDS-46566.html,0
RUBIES-UDS-153207,2,0312_RUBIES-UDS-153207.html,0
RUBIES-EGS-920,2,0313_RUBIES-EGS-920.html,0
RUBIES-UDS-18302,2,0314_RUBIES-UDS-18302.html,0
