distance_group_key,root,file,srcid,grade,z_use,z_best,z_phot,ztype,snr_ha_nii_cat,snr_oiii_hybrid_cat,oiii_cat_method
CEERS__source_id_fof_08180,ceers-v4,ceers-v4_prism-clear_1345_17578.spec.fits,17578,3.0,2.7776017,2.7776017,2.7896411,P,38.09782857634775,46.883208221571856,combined_line_oiii
CEERS__source_id_fof_08412,ceers-v4,ceers-v4_prism-clear_1345_3192.spec.fits,3192,3.0,2.8922575,2.8922575,2.8142285,P,32.01873592480971,15.778603539041677,combined_line_oiii
CEERS__source_id_fof_08805,ceers-v4,ceers-v4_prism-clear_1345_85788.spec.fits,85788,3.0,2.8926468,2.8926468,0.04725337,P,12.509755697334262,14.197841095853011,combined_line_oiii
CEERS__source_id_fof_07796,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_18188.spec.fits,18188,3.0,2.8953724,2.8953724,2.8823633,P,49.80211884143104,45.72970945402342,combined_line_oiii
CEERS__source_id_fof_08256,ceers-v4,ceers-v4_prism-clear_1345_22274.spec.fits,22274,3.0,2.8977108,2.8977108,2.468065,P,19.357820135704262,24.62267536521732,combined_line_oiii
CEERS__source_id_fof_08250,ceers-v4,ceers-v4_prism-clear_1345_21951.spec.fits,21951,3.0,2.9305894,2.9305894,3.4094265,P,19.00065627274499,13.605405601682499,combined_line_oiii
CEERS__source_id_fof_07772,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_11258.spec.fits,11258,3.0,2.9439757,2.9439757,3.347222,P,25.52923388585913,29.487625504049078,combined_line_oiii
CEERS__source_id_fof_08794,ceers-v4,ceers-v4_prism-clear_1345_84891.spec.fits,84891,3.0,2.9780397,2.9780397,3.340737,P,14.598933146866699,15.604371974200323,combined_line_oiii
CEERS__source_id_fof_05165,ceers-v4,ceers-v4_prism-clear_1345_12761.spec.fits,12761,3.0,3.0115744,3.0115744,2.9530656,P,9.208409084637108,8.491834174664877,combined_line_oiii
CEERS__source_id_fof_07790,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_1636.spec.fits,1636,3.0,3.059214,3.059214,2.79808,P,50.09315013839604,31.076446931402998,combined_line_oiii
CEERS__source_id_fof_08304,ceers-v4,ceers-v4_prism-clear_1345_2552.spec.fits,2552,3.0,3.094274,3.094274,0.49032214,P,25.21687396503413,10.542469564419138,combined_line_oiii
CEERS__source_id_fof_07873,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_7.spec.fits,7,3.0,3.0961308,3.0961308,0.28628725,P,9.11608175330016,14.078413721023816,combined_line_oiii
CEERS__source_id_fof_08807,ceers-v4,ceers-v4_prism-clear_1345_85815.spec.fits,85815,3.0,3.1895332,3.1895332,1.7024043,P,31.328782884802724,35.492236378392235,combined_line_oiii
CEERS__source_id_fof_07776,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_12431.spec.fits,12431,3.0,3.212639,3.212639,3.1898315,P,42.91342120593322,50.51996090999188,combined_line_oiii
CEERS__source_id_fof_07775,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_11518.spec.fits,11518,3.0,3.2175269,3.2175269,3.2916281,G,28.79639594007,27.72263668069704,combined_line_oiii
CEERS__source_id_fof_08078,ceers-v4,ceers-v4_prism-clear_1345_13656.spec.fits,13656,3.0,3.2202287,3.2202287,3.4662416,P,11.74887092925138,10.786652275090741,combined_line_oiii
CEERS__source_id_fof_08133,ceers-v4,ceers-v4_prism-clear_1345_15128.spec.fits,15128,3.0,3.230369,3.230369,3.0649352,P,11.90701139272702,12.716135043635086,combined_line_oiii
CEERS__source_id_fof_07773,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_11318.spec.fits,11318,3.0,3.2346017,3.2346017,3.401563,P,16.538982450352233,29.153145544199464,combined_line_oiii
CEERS__source_id_fof_08791,ceers-v4,ceers-v4_prism-clear_1345_84733.spec.fits,84733,3.0,3.2418063,3.2418063,3.1971736,P,9.133122796558824,10.424228155253802,combined_line_oiii
CEERS__source_id_fof_08046,ceers-v4,ceers-v4_prism-clear_1345_11753.spec.fits,11753,3.0,3.2439282,3.2439282,3.3095713,P,16.204770847577674,20.026942383931207,combined_line_oiii
CEERS__source_id_fof_08739,ceers-v4,ceers-v4_prism-clear_1345_8105.spec.fits,8105,3.0,3.2519991,3.2519991,,P,23.034284891244983,11.171572510399136,combined_line_oiii
CEERS__source_id_fof_07783,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_15057.spec.fits,15057,3.0,3.256679,3.256679,3.15052,P,37.23739094080146,43.35495430213292,combined_line_oiii
CEERS__source_id_fof_05121,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_11315.spec.fits,11315,3.0,3.266904,3.266904,3.243581,G,29.84694065891878,36.55847518881947,combined_line_oiii
CEERS__source_id_fof_08062,ceers-v4,ceers-v4_prism-clear_1345_12361.spec.fits,12361,3.0,3.276733,3.276733,3.190788,P,45.008075957629444,57.47280479645414,combined_line_oiii
CEERS__source_id_fof_08118,ceers-v4,ceers-v4_prism-clear_1345_14667.spec.fits,14667,3.0,3.2981696,3.2981696,0.29047382,P,15.105479453780735,20.68360538234874,combined_line_oiii
CEERS__source_id_fof_08042,ceers-v4,ceers-v4_prism-clear_1345_11699.spec.fits,11699,3.0,3.300940433333333,3.300940433333333,3.336106,G,33.48006198875401,33.2452319636347,combined_line_oiii
CEERS__source_id_fof_07778,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_12462.spec.fits,12462,3.0,3.3033307,3.3033307,3.3117769,P,48.710809049808525,53.48722697141466,combined_line_oiii
CEERS__source_id_fof_08302,ceers-v4,ceers-v4_prism-clear_1345_2549.spec.fits,2549,3.0,3.3084974,3.3084974,3.160062,P,28.27746097011962,9.81502486659227,combined_line_oiii
CEERS__source_id_fof_08262,ceers-v4,ceers-v4_prism-clear_1345_22576.spec.fits,22576,3.0,3.317123,3.317123,3.1919444,P,16.992353444054448,16.49713044090004,combined_line_oiii
CEERS__source_id_fof_07782,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_14516.spec.fits,14516,3.0,3.3351518,3.3351518,3.335885,G,37.58903948432779,41.88531498320302,combined_line_oiii
CEERS__source_id_fof_08067,ceers-v4,ceers-v4_prism-clear_1345_12459.spec.fits,12459,3.0,3.33703,3.33703,3.3373184,G,30.97230861986885,36.51596063626364,combined_line_oiii
CEERS__source_id_fof_08011,ceers-v4,ceers-v4_prism-clear_1345_10593.spec.fits,10593,3.0,3.340246025,3.340246025,3.3497124,G,23.484476885198415,20.77555664577775,combined_line_oiii
CEERS__source_id_fof_08799,ceers-v4,ceers-v4_prism-clear_1345_85551.spec.fits,85551,3.0,3.34267,3.34267,3.4213848,P,16.108724524125925,16.672327705843845,combined_line_oiii
CEERS__source_id_fof_08130,ceers-v4,ceers-v4_prism-clear_1345_14935.spec.fits,14935,3.0,3.3496234,3.3496234,3.050783,P,27.823845751380432,37.50084257920931,combined_line_oiii
CEERS__source_id_fof_08261,ceers-v4,ceers-v4_prism-clear_1345_22546.spec.fits,22546,3.0,3.3539758,3.3539758,,P,12.401634111585812,10.611133210215211,combined_line_oiii
CEERS__source_id_fof_08802,ceers-v4,ceers-v4_prism-clear_1345_85630.spec.fits,85630,3.0,3.390703,3.390703,3.023921,P,10.625372341489342,11.36060386238512,combined_line_oiii
CEERS__source_id_fof_08786,ceers-v4,ceers-v4_prism-clear_1345_84603.spec.fits,84603,3.0,3.4149184,3.4149184,3.4083602,P,9.764125954146463,15.975727572644853,combined_line_oiii
CEERS__source_id_fof_08359,ceers-v4,ceers-v4_prism-clear_1345_29001.spec.fits,29001,3.0,3.4329324,3.4329324,0.84115434,P,12.821246565453674,13.880819010845308,combined_line_oiii
CEERS__source_id_fof_08277,ceers-v4,ceers-v4_prism-clear_1345_2348.spec.fits,2348,3.0,3.434943,3.434943,3.4231954,G,16.926804988962743,8.603108174026586,combined_line_oiii
CEERS__source_id_fof_08029,ceers-v4,ceers-v4_prism-clear_1345_11347.spec.fits,11347,3.0,3.4379354,3.4379354,3.5138867,P,53.190449397874865,52.80955756744176,combined_line_oiii
CEERS__source_id_fof_07765,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_1034.spec.fits,1034,3.0,3.4386451,3.4386451,0.46696746,P,38.45560823414076,33.73214619899367,combined_line_oiii
CEERS__source_id_fof_08070,ceers-v4,ceers-v4_prism-clear_1345_12677.spec.fits,12677,3.0,3.4391168,3.4391168,3.4427555,G,15.506775171295148,17.553601510523063,combined_line_oiii
CEERS__source_id_fof_05090,ceers-v4,ceers-v4_prism-clear_1345_12913.spec.fits,12913,3.0,3.4425719,3.4425719,3.446013,P,27.280375057336684,25.58000752276684,combined_line_oiii
CEERS__source_id_fof_08314,ceers-v4,ceers-v4_prism-clear_1345_2617.spec.fits,2617,3.0,3.4463763,3.4463763,,P,42.75160599529355,16.319821176765515,combined_line_oiii
CEERS__source_id_fof_08782,ceers-v4,ceers-v4_prism-clear_1345_84534.spec.fits,84534,3.0,3.4606268,3.4606268,0.29372272,P,19.481023174401958,21.201428789464764,combined_line_oiii
CEERS__source_id_fof_08276,ceers-v4,ceers-v4_prism-clear_1345_2345.spec.fits,2345,3.0,3.4761345,3.4761345,3.527242,G,20.955958646080028,14.061314168011739,combined_line_oiii
CEERS__source_id_fof_08053,ceers-v4,ceers-v4_prism-clear_1345_12024.spec.fits,12024,3.0,3.4817877,3.4817877,3.6981435,G,42.38981827015439,34.70695470150168,combined_line_oiii
CEERS__source_id_fof_08076,ceers-v4,ceers-v4_prism-clear_1345_13282.spec.fits,13282,3.0,3.4825377,3.4825377,3.517617,P,32.67330960056713,40.898969748867714,combined_line_oiii
CEERS__source_id_fof_08798,ceers-v4,ceers-v4_prism-clear_1345_85534.spec.fits,85534,3.0,3.4879198,3.4879198,3.459593,P,24.122669904158208,23.4933317304236,combined_line_oiii
