distance_group,srcid,grade,z_use,href
CEERS__source_id_fof_08300,25177,3.0,1.7966,sources/source_0099_CEERS__source_id_fof_08300.html
CEERS__source_id_fof_08743,8195,3.0,1.8055,sources/source_0100_CEERS__source_id_fof_08743.html
CEERS__source_id_fof_08839,9780,3.0,1.8069,sources/source_0101_CEERS__source_id_fof_08839.html
CEERS__source_id_fof_08436,35030,3.0,1.8086,sources/source_0102_CEERS__source_id_fof_08436.html
CEERS__source_id_fof_08289,24524,3.0,1.8142,sources/source_0103_CEERS__source_id_fof_08289.html
CEERS__source_id_fof_07816,24210,3.0,1.8201,sources/source_0104_CEERS__source_id_fof_07816.html
CEERS__source_id_fof_08212,19334,3.0,1.8419,sources/source_0105_CEERS__source_id_fof_08212.html
CEERS__source_id_fof_07822,26827,3.0,1.8485,sources/source_0106_CEERS__source_id_fof_07822.html
CEERS__source_id_fof_08713,80387,3.0,1.8745,sources/source_0107_CEERS__source_id_fof_08713.html
CEERS__source_id_fof_08286,24222,3.0,1.9055,sources/source_0108_CEERS__source_id_fof_08286.html
CEERS__source_id_fof_08672,7543,3.0,1.9057,sources/source_0109_CEERS__source_id_fof_08672.html
CEERS__source_id_fof_08425,33956,3.0,1.9066,sources/source_0110_CEERS__source_id_fof_08425.html
CEERS__source_id_fof_07831,29898,3.0,1.9069,sources/source_0111_CEERS__source_id_fof_07831.html
CEERS__source_id_fof_07795,1796,3.0,1.9098,sources/source_0112_CEERS__source_id_fof_07795.html
CEERS__source_id_fof_08383,57,3.0,1.9102,sources/source_0113_CEERS__source_id_fof_08383.html
CEERS__source_id_fof_08308,25742,3.0,1.9177,sources/source_0114_CEERS__source_id_fof_08308.html
CEERS__source_id_fof_08421,3327,3.0,1.9188,sources/source_0115_CEERS__source_id_fof_08421.html
CEERS__source_id_fof_08206,18831,3.0,1.9194,sources/source_0116_CEERS__source_id_fof_08206.html
CEERS__source_id_fof_08633,6459,3.0,1.9200,sources/source_0117_CEERS__source_id_fof_08633.html
CEERS__source_id_fof_08014,10615,3.0,1.9203,sources/source_0118_CEERS__source_id_fof_08014.html
CEERS__source_id_fof_08247,21875,3.0,1.9224,sources/source_0119_CEERS__source_id_fof_08247.html
CEERS__source_id_fof_07797,1823,3.0,1.9297,sources/source_0120_CEERS__source_id_fof_07797.html
CEERS__source_id_fof_08228,20821,3.0,1.9461,sources/source_0121_CEERS__source_id_fof_08228.html
CEERS__source_id_fof_08107,14335,3.0,1.9488,sources/source_0122_CEERS__source_id_fof_08107.html
CEERS__source_id_fof_08629,6283,3.0,1.9488,sources/source_0123_CEERS__source_id_fof_08629.html
CEERS__source_id_fof_08630,6419,3.0,1.9576,sources/source_0124_CEERS__source_id_fof_08630.html
CEERS__source_id_fof_07850,4179,3.0,2.0065,sources/source_0125_CEERS__source_id_fof_07850.html
CEERS__source_id_fof_08229,20823,3.0,2.0111,sources/source_0126_CEERS__source_id_fof_08229.html
CEERS__source_id_fof_07818,25755,3.0,2.0123,sources/source_0127_CEERS__source_id_fof_07818.html
